city,state,period,good,satisfactory,moderate,poor,very_poor,severe,days_with_data
Pune,Maharashtra,FY2025-26,38,163,148,16,0,0,365
Purnia,Bihar,FY2024-25,26,96,104,45,1,0,272
Purnia,Bihar,FY2025-26,82,156,67,3,0,0,308
Raipur,Chhattisgarh,FY2024-25,72,205,86,0,0,0,363
Raipur,Chhattisgarh,FY2025-26,122,212,31,0,0,0,365
Rairangpur,Odisha,FY2024-25,72,115,122,6,1,0,316
Rairangpur,Odisha,FY2025-26,61,157,83,0,0,0,301
Rajamahendravaram,Andhra Pradesh,FY2024-25,150,133,63,8,0,0,354
Rajamahendravaram,Andhra Pradesh,FY2025-26,133,126,65,30,0,0,354
Rajsamand,Rajasthan,FY2024-25,35,216,84,8,1,0,344
Rajsamand,Rajasthan,FY2025-26,11,233,100,8,0,0,352
Ramanagara,Karnataka,FY2024-25,175,128,26,4,0,0,333
Ramanagara,Karnataka,FY2025-26,62,78,40,1,0,0,181
Ramanathapuram,Tamil Nadu,FY2024-25,214,65,1,0,0,0,280
Ramanathapuram,Tamil Nadu,FY2025-26,199,53,0,0,0,0,252
Ratlam,Madhya Pradesh,FY2024-25,55,73,213,9,0,0,350
Ratlam,Madhya Pradesh,FY2025-26,48,113,176,3,0,0,340
Rishikesh,Uttarakhand,FY2024-25,104,174,51,2,0,0,331
Rishikesh,Uttarakhand,FY2025-26,88,157,42,0,0,0,287
Rohtak,Haryana,FY2024-25,37,67,108,66,14,2,294
Rohtak,Haryana,FY2025-26,1,24,58,27,23,4,137
Rourkela,Odisha,FY2024-25,35,125,155,47,0,0,362
Rourkela,Odisha,FY2025-26,37,150,163,6,0,0,356
Rupnagar,Punjab,FY2024-25,16,104,188,15,1,0,324
Rupnagar,Punjab,FY2025-26,50,118,54,17,3,0,242
Sagar,Madhya Pradesh,FY2024-25,42,193,114,12,2,0,363
Sagar,Madhya Pradesh,FY2025-26,41,209,96,14,0,0,360
Saharsa,Bihar,FY2024-25,28,128,111,41,6,0,314
Saharsa,Bihar,FY2025-26,41,101,136,8,0,0,286
Samastipur,Bihar,FY2024-25,5,79,156,38,2,0,280
Samastipur,Bihar,FY2025-26,28,132,106,17,1,0,284
Sangli,Maharashtra,FY2024-25,116,83,120,1,0,0,320
Sangli,Maharashtra,FY2025-26,91,124,85,17,0,0,317
Sasaram,Bihar,FY2024-25,62,95,121,46,2,0,326
Sasaram,Bihar,FY2025-26,16,150,96,12,0,0,274
Satna,Madhya Pradesh,FY2024-25,54,274,9,0,0,0,337
Satna,Madhya Pradesh,FY2025-26,0,265,2,0,0,0,267
Sawai Madhopur,Rajasthan,FY2024-25,17,104,186,22,1,0,330
Sawai Madhopur,Rajasthan,FY2025-26,33,97,200,27,0,0,357
Shillong,Meghalaya,FY2024-25,79,31,36,2,0,0,148
Shillong,Meghalaya,FY2025-26,256,46,16,1,0,0,319
Shivamogga,Karnataka,FY2024-25,161,181,0,0,0,0,342
