city,state,period,pollutant,days
Vapi,Gujarat,FY2025-26,PM2.5,112
Vapi,Gujarat,FY2025-26,PM10,193
Vapi,Gujarat,FY2025-26,SO2,10
Varanasi,Uttar Pradesh,FY2024-25,PM2.5,82
Varanasi,Uttar Pradesh,FY2024-25,PM10,210
Varanasi,Uttar Pradesh,FY2024-25,NO2,16
Varanasi,Uttar Pradesh,FY2024-25,SO2,42
Varanasi,Uttar Pradesh,FY2024-25,CO,3
Varanasi,Uttar Pradesh,FY2024-25,O3,11
Varanasi,Uttar Pradesh,FY2025-26,PM2.5,69
Varanasi,Uttar Pradesh,FY2025-26,PM10,236
Varanasi,Uttar Pradesh,FY2025-26,NO2,13
Varanasi,Uttar Pradesh,FY2025-26,SO2,46
Varanasi,Uttar Pradesh,FY2025-26,O3,1
Vatva,Gujarat,FY2024-25,PM2.5,42
Vatva,Gujarat,FY2024-25,PM10,287
Vatva,Gujarat,FY2024-25,NO2,13
Vatva,Gujarat,FY2024-25,CO,1
Vatva,Gujarat,FY2024-25,O3,6
Vatva,Gujarat,FY2025-26,PM2.5,123
Vatva,Gujarat,FY2025-26,PM10,206
Vatva,Gujarat,FY2025-26,NO2,2
Vatva,Gujarat,FY2025-26,SO2,2
Vatva,Gujarat,FY2025-26,CO,4
Vijayapura,Karnataka,FY2024-25,PM2.5,35
Vijayapura,Karnataka,FY2024-25,PM10,216
Vijayapura,Karnataka,FY2024-25,SO2,8
Vijayapura,Karnataka,FY2024-25,CO,47
Vijayapura,Karnataka,FY2025-26,PM10,257
Vijayawada,Andhra Pradesh,FY2024-25,PM2.5,112
Vijayawada,Andhra Pradesh,FY2024-25,PM10,203
Vijayawada,Andhra Pradesh,FY2024-25,NO2,10
Vijayawada,Andhra Pradesh,FY2024-25,CO,2
Vijayawada,Andhra Pradesh,FY2024-25,O3,12
Vijayawada,Andhra Pradesh,FY2025-26,PM2.5,221
Vijayawada,Andhra Pradesh,FY2025-26,PM10,85
Vijayawada,Andhra Pradesh,FY2025-26,NO2,2
Vijayawada,Andhra Pradesh,FY2025-26,CO,2
Vijayawada,Andhra Pradesh,FY2025-26,O3,38
Virar,Maharashtra,FY2024-25,PM2.5,77
Virar,Maharashtra,FY2024-25,PM10,232
Virar,Maharashtra,FY2024-25,CO,6
Virar,Maharashtra,FY2024-25,O3,28
Virar,Maharashtra,FY2025-26,PM2.5,38
Virar,Maharashtra,FY2025-26,PM10,240
Virar,Maharashtra,FY2025-26,CO,43
Virar,Maharashtra,FY2025-26,O3,23
Visakhapatnam,Andhra Pradesh,FY2024-25,PM2.5,80
Visakhapatnam,Andhra Pradesh,FY2024-25,PM10,243
Visakhapatnam,Andhra Pradesh,FY2024-25,NO2,11
Visakhapatnam,Andhra Pradesh,FY2024-25,O3,10
Visakhapatnam,Andhra Pradesh,FY2025-26,PM2.5,70
Visakhapatnam,Andhra Pradesh,FY2025-26,PM10,262
Visakhapatnam,Andhra Pradesh,FY2025-26,NO2,8
Visakhapatnam,Andhra Pradesh,FY2025-26,CO,2
Visakhapatnam,Andhra Pradesh,FY2025-26,O3,4
Vrindavan,Uttar Pradesh,FY2024-25,PM2.5,5
Vrindavan,Uttar Pradesh,FY2024-25,PM10,327
Vrindavan,Uttar Pradesh,FY2024-25,SO2,4
Vrindavan,Uttar Pradesh,FY2024-25,CO,7
Vrindavan,Uttar Pradesh,FY2025-26,PM2.5,12
Vrindavan,Uttar Pradesh,FY2025-26,PM10,326
Vrindavan,Uttar Pradesh,FY2025-26,SO2,9
Vrindavan,Uttar Pradesh,FY2025-26,CO,1
Vrindavan,Uttar Pradesh,FY2025-26,O3,3
Yadgir,Karnataka,FY2024-25,PM2.5,114
Yadgir,Karnataka,FY2024-25,PM10,185
Yadgir,Karnataka,FY2024-25,SO2,2
Yadgir,Karnataka,FY2024-25,CO,7
Yadgir,Karnataka,FY2024-25,O3,4
Yadgir,Karnataka,FY2025-26,PM2.5,58
Yadgir,Karnataka,FY2025-26,PM10,161
Yadgir,Karnataka,FY2025-26,NO2,102
Yadgir,Karnataka,FY2025-26,CO,6
